"date","PPFD_IN","PPFD_IN_QC","PPFD_DIF","PPFD_DIF_QC"
2005-06-13,439.659199791667,1,255.158958333333,1
2005-06-14,266.124282291667,1,244.415833333333,1
2005-06-15,709.323029166667,1,276.3975,1
2005-06-16,607.118314583333,1,384.266666666667,1
2005-06-17,643.383481458333,1,347.996875,1
2005-06-18,767.42000875,1,249.398333333333,1
2005-06-19,772.114644375,1,140.254791666667,1
2005-06-20,775.323726666667,1,125.468541666667,1
2005-06-21,695.369762291667,1,243.408333333333,1
2005-06-22,618.214255,1,295.226458333333,1
2005-06-23,683.337035833334,1,251.573541666667,1
2005-06-24,657.557040208333,1,282.619791666667,1
2005-06-25,538.315804166667,1,297.413333333333,1
2005-06-26,711.615872916667,1,242.143125,1
2005-06-27,649.252759583333,1,270.366875,1
2005-06-28,571.523123125,1,214.638333333333,1
2005-06-29,486.839269583333,1,233.941666666667,1
2005-06-30,371.427216382979,0.979166666666667,238.347659574468,0.979166666666667
2005-07-01,405.101181702128,0.979166666666667,258.249375,1
2005-07-02,308.284778541667,1,287.552708333333,1
2005-07-03,735.566987916667,1,243.688541666667,1
2005-07-04,352.682364791667,1,209.056875,1
2005-07-05,525.804075208333,1,242.639166666667,1
2005-07-06,268.761899375,1,231.546458333333,1
2005-07-07,213.237264583333,1,188.948958333333,1
2005-07-08,288.038711458333,1,222.529583333333,1
2005-07-09,642.432752916667,1,291.703333333333,1
2005-07-10,374.847730208333,1,228.953333333333,1
2005-07-11,445.389589166667,1,275.151875,1
2005-07-12,687.530663958333,1,269.663125,1
2005-07-13,690.971695416667,1,223.2275,1
2005-07-14,738.81315375,1,134.687291666667,1
2005-07-15,648.77611625,1,279.627916666667,1
2005-07-16,420.217540208333,1,273.816875,1
2005-07-17,677.634602708333,1,264.755,1
2005-07-18,387.207920638298,0.979166666666667,236.289361702128,0.979166666666667
2005-07-19,410.044506041667,1,241.993958333333,1
2005-07-20,619.759613125,1,249.88625,1
2005-07-21,473.720106875,1,219.530833333333,1
2005-07-22,596.406472708333,1,265.17875,1
2005-07-23,437.312647708333,1,303.0075,1
2005-07-24,262.80598625,1,245.249375,1
2005-07-25,264.008455,1,234.163125,1
2005-07-26,522.634532291667,1,306.915416666667,1
2005-07-27,656.804835416667,1,199.791666666667,1
2005-07-28,640.775276666667,1,214.276458333333,1
2005-07-29,441.943012291667,1,274.133958333333,1
2005-07-30,265.357336041667,1,215.066666666667,1
