TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
200102,3.138,2.517,1.663,3.922,2.242,84.089,294.284,1.525,96.324,1.568,1.998
200103,6.793,6.198,1.612,7.374,1.961,96.959,327.049,1.366,95.32,7.319,2.218
200104,6.872,5.884,1.954,7.603,2.436,164.67,315.584,2.338,95.962,4.285,2.04
200105,15.263,13.864,1.981,16.035,2.941,218.83,342.964,5.051,96.182,3.548,1.72
200106,15.198,13.666,2.038,15.965,3.024,237.256,342.334,5.124,96.403,5.127,1.651
200107,18.238,16.565,2.065,19.115,3.387,222.594,360.358,5.651,96.263,3.773,1.597
200108,18.987,17.41,1.964,20.017,3.178,210.908,362.685,5.595,96.417,3.278,1.424
200109,11.296,10.429,1.639,12.028,2.266,118.951,341.208,2.131,96.142,5.352,1.932
200110,13.665,13.163,1.399,14.232,2.779,107.512,343.233,2.719,96.552,1.329,1.185
200111,2.153,1.684,1.564,2.83,1.758,59.108,300.754,0.605,96.663,2.748,2.127
200112,-0.714,-0.963,1.598,-0.298,1.593,45.54,285.047,0.603,96.659,1.629,2.733
200201,0.294,-0.17,1.851,1.032,2.399,57.251,278.982,0.977,97.053,0.566,1.359
200202,5.243,4.84,1.696,5.773,1.902,70.927,311.087,1.69,96.228,3.228,2.732
200203,6.928,6.115,2.247,7.714,3.168,145.635,302.535,2.993,96.318,2.014,2.001
200204,8.752,7.662,2.421,9.554,3.287,199.817,310.133,3.709,95.964,2.378,2.024
200205,12.572,11.459,2.292,13.191,2.692,185.656,340.386,4.024,96.06,4.758,1.559
200206,18.843,17.294,2.134,19.617,3.266,243.256,358.512,7.114,96.31,4.762,1.441
200207,17.79,16.478,2.058,18.475,2.77,215.493,360.938,5.32,96.219,4.224,1.547
200208,17.199,15.954,1.796,18.008,2.674,184.362,360.481,3.951,96.184,5.243,1.386
200209,12.423,11.452,1.87,13.255,2.612,130.436,341.892,2.227,96.36,4.369,1.606
200210,9.642,8.91,2.085,10.481,2.417,92.609,328.848,2.034,96.072,4.321,1.851
200211,6.004,5.656,1.213,6.505,1.443,40.626,325.665,0.492,95.644,5.782,1.491
200212,3.395,3.249,1.119,3.636,0.97,33.761,315.223,0.389,96.082,2.48,1.676
200301,-0.148,-0.385,1.177,0.221,1.152,43.095,290.828,0.563,96.095,2.358,2.248
200302,-2.464,-3.169,2.3,-1.59,2.921,106.34,264.25,0.904,96.403,1.166,1.612
200303,7.183,6.144,2.87,8.196,3.989,163.005,292.314,3.786,96.75,1.006,1.719
200304,8.811,7.75,2.645,9.577,3.316,201.092,307.436,3.873,96.079,2.733,1.931
200305,14.314,13.057,2.196,15.02,2.898,213.772,344.557,4.338,96.432,2.676,1.661
200306,21.742,19.77,2.091,22.728,3.794,269.005,367.608,9.081,96.318,3.933,1.336
200307,20.027,18.481,2.345,20.823,3.409,252.459,361.109,9.072,96.362,3.713,1.466
200308,23.883,23.355,1.691,24.217,3.468,250.627,371.81,14.388,96.422,2.946,1.234
200309,14.327,13.017,2.404,15.434,3.598,169.365,333.564,4.858,96.659,1.57,1.551
200310,6.246,5.521,1.841,7.072,2.416,90.754,312.87,1.151,95.895,4.314,1.874
200311,5.221,4.673,1.833,6.01,2.372,60.016,310.313,0.831,96.245,2.033,1.122
200312,1.359,0.93,1.482,2.075,1.844,47.187,288.972,0.695,96.372,1.395,1.591
200401,0.801,0.605,1.408,1.112,1.304,44.747,299.303,0.608,95.732,4.686,2.347
200402,1.689,1.465,1.8,1.98,2.566,93.962,284.255,1.503,96.448,1.7,1.963
200403,4.299,3.577,2.205,4.979,2.891,137.895,297.306,2.387,96.517,2.352,1.739
200404,9.196,8.126,2.258,9.953,3.121,187.289,315.994,3.705,95.838,2.241,2.047
200405,11.938,10.632,2.233,12.653,2.93,225.165,326.936,4.622,96.053,3.452,1.81
200406,15.955,14.432,1.956,16.717,2.927,233.161,348.655,5.126,96.478,3.965,1.651
200407,17.504,16.09,1.949,18.248,2.865,231.507,357.728,5.211,96.405,4.108,1.526
